"filename", "language", "Dart", "C++", "JSON", "HTML", "Swift", "XML", "YAML", "Markdown", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\dheen\Desktop\UFin\ufin\web\index.html", "HTML", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 16, 6, 60
"c:\Users\dheen\Desktop\UFin\ufin\web\manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\dheen\Desktop\UFin\ufin\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 18
"c:\Users\dheen\Desktop\UFin\ufin\windows\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\dheen\Desktop\UFin\ufin\windows\runner\flutter_window.cpp", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\dheen\Desktop\UFin\ufin\windows\runner\flutter_window.h", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\dheen\Desktop\UFin\ufin\windows\runner\main.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\dheen\Desktop\UFin\ufin\windows\runner\resource.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\dheen\Desktop\UFin\ufin\windows\runner\utils.cpp", "C++", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\dheen\Desktop\UFin\ufin\windows\runner\utils.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\dheen\Desktop\UFin\ufin\windows\runner\win32_window.cpp", "C++", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\dheen\Desktop\UFin\ufin\windows\runner\win32_window.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 11578, 541, 308, 38, 62, 463, 40, 3, 8, 91, 1143, 1111, 15386
